position,CM
minutes,45
passes_completed,7
passes,18
dribbles_completed,0
dribbles,0
passes_completed_short,5
passes_short,7
passes_completed_medium,0
passes_medium,7
passes_completed_long,2
passes_long,4
passes_total_distance,134
passes_free_kicks,0
through_balls,0
passes_pressure,1
passes_switches,1
crosses,2
corner_kicks,0
passes_intercepted,1
passes_blocked,0
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,2
shots_on_target,0
sca,2
gca,0
xg,0.1
crosses_into_penalty_area,2
passes_into_final_third,0
passes_into_penalty_area,3
progressive_passes,1
carry_progressive_distance,43
assisted_shots,1
fouled,0
pens_won,0
tackles,1
interceptions,0
blocks,1
tackles_won,0
dribble_tackles,0
dribbles_vs,2
pressures,8
pressure_regains,2
clearances,0
errors,0
aerials_won,0
aerials_lost,1
ball_recoveries,5
pens_conceded,0
fouls,2
cards_yellow_red,0
