position,LM
minutes,354.0
passes_completed,69.0
passes,99.0
dribbles_completed,4.0
dribbles,5.0
passes_completed_short,33.0
passes_short,47.0
passes_completed_medium,25.0
passes_medium,30.0
passes_completed_long,7.0
passes_long,12.0
passes_total_distance,1172.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,20.0
passes_switches,2.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,5.0
dispossessed,8.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,0.0
sca,7.0
gca,0.0
xg,0.2
crosses_into_penalty_area,1.0
passes_into_final_third,7.0
passes_into_penalty_area,2.0
progressive_passes,9.0
carry_progressive_distance,345.0
assisted_shots,2.0
fouled,8.0
pens_won,0.0
tackles,12.0
interceptions,3.0
blocks,7.0
tackles_won,6.0
dribble_tackles,5.0
dribbles_vs,9.0
pressures,63.0
pressure_regains,12.0
clearances,8.0
errors,0.0
aerials_won,8.0
aerials_lost,6.0
ball_recoveries,21.0
pens_conceded,0.0
fouls,7.0
cards_yellow_red,0.0
