position,DM
minutes,102.0
passes_completed,44.0
passes,54.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,15.0
passes_short,18.0
passes_completed_medium,19.0
passes_medium,24.0
passes_completed_long,10.0
passes_long,12.0
passes_total_distance,1043.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,8.0
passes_switches,4.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,1.0
dispossessed,4.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,1.0
sca,1.0
gca,1.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,7.0
passes_into_penalty_area,1.0
progressive_passes,10.0
carry_progressive_distance,75.0
assisted_shots,1.0
fouled,3.0
pens_won,0.0
tackles,2.0
interceptions,0.0
blocks,1.0
tackles_won,2.0
dribble_tackles,1.0
dribbles_vs,3.0
pressures,26.0
pressure_regains,13.0
clearances,7.0
errors,0.0
aerials_won,2.0
aerials_lost,4.0
ball_recoveries,9.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
