position,CB
minutes,2172.0
passes_completed,1148.0
passes,1308.0
dribbles_completed,2.0
dribbles,2.0
passes_completed_short,300.0
passes_short,332.0
passes_completed_medium,600.0
passes_medium,651.0
passes_completed_long,247.0
passes_long,319.0
passes_total_distance,25761.0
passes_free_kicks,57.0
through_balls,0.0
passes_pressure,197.0
passes_switches,46.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,9.0
passes_blocked,8.0
dispossessed,2.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,16.0
gca,2.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,58.0
passes_into_penalty_area,1.0
progressive_passes,65.0
carry_progressive_distance,1444.0
assisted_shots,2.0
fouled,34.0
pens_won,0.0
tackles,52.0
interceptions,28.0
blocks,45.0
tackles_won,38.0
dribble_tackles,14.0
dribbles_vs,41.0
pressures,255.0
pressure_regains,84.0
clearances,127.0
errors,1.0
aerials_won,34.0
aerials_lost,21.0
ball_recoveries,303.0
pens_conceded,0.0
fouls,17.0
cards_yellow_red,0.0
