position,CB
minutes,886.0
passes_completed,473.0
passes,599.0
dribbles_completed,7.0
dribbles,12.0
passes_completed_short,85.0
passes_short,116.0
passes_completed_medium,224.0
passes_medium,262.0
passes_completed_long,159.0
passes_long,211.0
passes_total_distance,12425.0
passes_free_kicks,12.0
through_balls,0.0
passes_pressure,76.0
passes_switches,53.0
crosses,6.0
corner_kicks,0.0
passes_intercepted,11.0
passes_blocked,9.0
dispossessed,6.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,2.0
sca,3.0
gca,0.0
xg,1.4999999999999998
crosses_into_penalty_area,1.0
passes_into_final_third,47.0
passes_into_penalty_area,2.0
progressive_passes,35.0
carry_progressive_distance,1865.0
assisted_shots,1.0
fouled,6.0
pens_won,0.0
tackles,19.0
interceptions,12.0
blocks,14.0
tackles_won,11.0
dribble_tackles,6.0
dribbles_vs,13.0
pressures,98.0
pressure_regains,29.0
clearances,49.0
errors,0.0
aerials_won,29.0
aerials_lost,15.0
ball_recoveries,104.0
pens_conceded,0.0
fouls,12.0
cards_yellow_red,0.0
