position,AM
minutes,448.0
passes_completed,176.0
passes,218.0
dribbles_completed,10.0
dribbles,17.0
passes_completed_short,116.0
passes_short,132.0
passes_completed_medium,37.0
passes_medium,51.0
passes_completed_long,15.0
passes_long,21.0
passes_total_distance,2519.0
passes_free_kicks,0.0
through_balls,1.0
passes_pressure,47.0
passes_switches,4.0
crosses,7.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,5.0
dispossessed,16.0
goals,3.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,4.0
sca,24.0
gca,2.0
xg,0.7000000000000001
crosses_into_penalty_area,3.0
passes_into_final_third,17.0
passes_into_penalty_area,10.0
progressive_passes,17.0
carry_progressive_distance,504.0
assisted_shots,12.0
fouled,6.0
pens_won,0.0
tackles,7.0
interceptions,3.0
blocks,5.0
tackles_won,5.0
dribble_tackles,2.0
dribbles_vs,12.0
pressures,153.0
pressure_regains,40.0
clearances,2.0
errors,0.0
aerials_won,1.0
aerials_lost,6.0
ball_recoveries,38.0
pens_conceded,0.0
fouls,7.0
cards_yellow_red,0.0
