position,DM
minutes,432.0
passes_completed,262.0
passes,323.0
dribbles_completed,8.0
dribbles,11.0
passes_completed_short,132.0
passes_short,155.0
passes_completed_medium,102.0
passes_medium,122.0
passes_completed_long,26.0
passes_long,37.0
passes_total_distance,4431.0
passes_free_kicks,8.0
through_balls,3.0
passes_pressure,50.0
passes_switches,3.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,10.0
dispossessed,6.0
goals,0.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,1.0
sca,8.0
gca,4.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,34.0
passes_into_penalty_area,3.0
progressive_passes,34.0
carry_progressive_distance,922.0
assisted_shots,3.0
fouled,6.0
pens_won,0.0
tackles,11.0
interceptions,6.0
blocks,8.0
tackles_won,9.0
dribble_tackles,1.0
dribbles_vs,7.0
pressures,115.0
pressure_regains,45.0
clearances,5.0
errors,0.0
aerials_won,10.0
aerials_lost,9.0
ball_recoveries,75.0
pens_conceded,0.0
fouls,7.0
cards_yellow_red,0.0
