position,FW
minutes,370.0
passes_completed,56.0
passes,83.0
dribbles_completed,4.0
dribbles,7.0
passes_completed_short,31.0
passes_short,41.0
passes_completed_medium,16.0
passes_medium,24.0
passes_completed_long,8.0
passes_long,13.0
passes_total_distance,939.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,14.0
passes_switches,0.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,5.0
dispossessed,3.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,3.0
sca,7.0
gca,0.0
xg,1.3
crosses_into_penalty_area,0.0
passes_into_final_third,6.0
passes_into_penalty_area,1.0
progressive_passes,6.0
carry_progressive_distance,272.0
assisted_shots,2.0
fouled,1.0
pens_won,0.0
tackles,5.0
interceptions,1.0
blocks,5.0
tackles_won,3.0
dribble_tackles,1.0
dribbles_vs,5.0
pressures,101.0
pressure_regains,24.0
clearances,2.0
errors,0.0
aerials_won,8.0
aerials_lost,5.0
ball_recoveries,18.0
pens_conceded,0.0
fouls,11.0
cards_yellow_red,0.0
