position,FW
minutes,2293.0
passes_completed,457.0
passes,743.0
dribbles_completed,29.0
dribbles,62.0
passes_completed_short,305.0
passes_short,442.0
passes_completed_medium,111.0
passes_medium,208.0
passes_completed_long,22.0
passes_long,41.0
passes_total_distance,6087.0
passes_free_kicks,1.0
through_balls,5.0
passes_pressure,202.0
passes_switches,4.0
crosses,19.0
corner_kicks,0.0
passes_intercepted,21.0
passes_blocked,30.0
dispossessed,57.0
goals,14.0
assists,3.0
pens_made,0.0
pens_att,0.0
shots_total,63.0
shots_on_target,27.0
sca,69.0
gca,11.0
xg,11.299999999999999
crosses_into_penalty_area,3.0
passes_into_final_third,36.0
passes_into_penalty_area,21.0
progressive_passes,46.0
carry_progressive_distance,2192.0
assisted_shots,30.0
fouled,45.0
pens_won,0.0
tackles,16.0
interceptions,5.0
blocks,31.0
tackles_won,12.0
dribble_tackles,2.0
dribbles_vs,26.0
pressures,648.0
pressure_regains,174.0
clearances,22.0
errors,0.0
aerials_won,83.0
aerials_lost,91.0
ball_recoveries,120.0
pens_conceded,0.0
fouls,53.0
cards_yellow_red,0.0
