position,CB
minutes,1363.0
passes_completed,477.0
passes,634.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,96.0
passes_short,118.0
passes_completed_medium,237.0
passes_medium,277.0
passes_completed_long,142.0
passes_long,226.0
passes_total_distance,12665.0
passes_free_kicks,35.0
through_balls,2.0
passes_pressure,131.0
passes_switches,40.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,11.0
passes_blocked,14.0
dispossessed,1.0
goals,1.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,3.0
sca,16.0
gca,2.0
xg,1.1
crosses_into_penalty_area,0.0
passes_into_final_third,50.0
passes_into_penalty_area,2.0
progressive_passes,42.0
carry_progressive_distance,1397.0
assisted_shots,9.0
fouled,14.0
pens_won,0.0
tackles,28.0
interceptions,13.0
blocks,30.0
tackles_won,15.0
dribble_tackles,15.0
dribbles_vs,41.0
pressures,136.0
pressure_regains,36.0
clearances,119.0
errors,1.0
aerials_won,47.0
aerials_lost,35.0
ball_recoveries,161.0
pens_conceded,1.0
fouls,10.0
cards_yellow_red,0.0
