position,RW
minutes,2287.0
passes_completed,1348.0
passes,1614.0
dribbles_completed,93.0
dribbles,164.0
passes_completed_short,789.0
passes_short,890.0
passes_completed_medium,444.0
passes_medium,508.0
passes_completed_long,89.0
passes_long,144.0
passes_total_distance,20379.0
passes_free_kicks,15.0
through_balls,9.0
passes_pressure,313.0
passes_switches,34.0
crosses,46.0
corner_kicks,57.0
passes_intercepted,37.0
passes_blocked,51.0
dispossessed,51.0
goals,17.0
assists,16.0
pens_made,0.0
pens_att,0.0
shots_total,52.0
shots_on_target,28.0
sca,125.0
gca,32.0
xg,9.0
crosses_into_penalty_area,5.0
passes_into_final_third,70.0
passes_into_penalty_area,57.0
progressive_passes,131.0
carry_progressive_distance,5877.0
assisted_shots,67.0
fouled,17.0
pens_won,0.0
tackles,17.0
interceptions,14.0
blocks,21.0
tackles_won,14.0
dribble_tackles,7.0
dribbles_vs,23.0
pressures,412.0
pressure_regains,131.0
clearances,3.0
errors,0.0
aerials_won,1.0
aerials_lost,17.0
ball_recoveries,136.0
pens_conceded,0.0
fouls,9.0
cards_yellow_red,0.0
