position,LM
minutes,219.0
passes_completed,71.0
passes,95.0
dribbles_completed,10.0
dribbles,16.0
passes_completed_short,39.0
passes_short,48.0
passes_completed_medium,22.0
passes_medium,27.0
passes_completed_long,8.0
passes_long,16.0
passes_total_distance,1178.0
passes_free_kicks,0.0
through_balls,2.0
passes_pressure,14.0
passes_switches,5.0
crosses,10.0
corner_kicks,2.0
passes_intercepted,2.0
passes_blocked,4.0
dispossessed,6.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,5.0
shots_on_target,0.0
sca,6.0
gca,0.0
xg,0.4
crosses_into_penalty_area,1.0
passes_into_final_third,1.0
passes_into_penalty_area,6.0
progressive_passes,9.0
carry_progressive_distance,332.0
assisted_shots,3.0
fouled,5.0
pens_won,0.0
tackles,2.0
interceptions,0.0
blocks,1.0
tackles_won,1.0
dribble_tackles,1.0
dribbles_vs,3.0
pressures,30.0
pressure_regains,11.0
clearances,1.0
errors,0.0
aerials_won,1.0
aerials_lost,2.0
ball_recoveries,21.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
