position,WB
minutes,545.0
passes_completed,252.0
passes,334.0
dribbles_completed,2.0
dribbles,3.0
passes_completed_short,102.0
passes_short,123.0
passes_completed_medium,116.0
passes_medium,139.0
passes_completed_long,31.0
passes_long,62.0
passes_total_distance,4900.0
passes_free_kicks,8.0
through_balls,1.0
passes_pressure,56.0
passes_switches,16.0
crosses,22.0
corner_kicks,4.0
passes_intercepted,4.0
passes_blocked,16.0
dispossessed,5.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,0.0
sca,11.0
gca,1.0
xg,0.30000000000000004
crosses_into_penalty_area,5.0
passes_into_final_third,17.0
passes_into_penalty_area,10.0
progressive_passes,22.0
carry_progressive_distance,555.0
assisted_shots,7.0
fouled,9.0
pens_won,0.0
tackles,18.0
interceptions,6.0
blocks,9.0
tackles_won,12.0
dribble_tackles,8.0
dribbles_vs,18.0
pressures,86.0
pressure_regains,26.0
clearances,16.0
errors,0.0
aerials_won,6.0
aerials_lost,3.0
ball_recoveries,49.0
pens_conceded,0.0
fouls,6.0
cards_yellow_red,0.0
