position,FW
minutes,130.0
passes_completed,24.0
passes,40.0
dribbles_completed,3.0
dribbles,3.0
passes_completed_short,14.0
passes_short,21.0
passes_completed_medium,8.0
passes_medium,13.0
passes_completed_long,0.0
passes_long,4.0
passes_total_distance,338.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,9.0
passes_switches,0.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,0.0
dispossessed,4.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,0.0
sca,3.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,2.0
passes_into_penalty_area,1.0
progressive_passes,4.0
carry_progressive_distance,59.0
assisted_shots,0.0
fouled,2.0
pens_won,0.0
tackles,1.0
interceptions,1.0
blocks,2.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,42.0
pressure_regains,9.0
clearances,1.0
errors,0.0
aerials_won,6.0
aerials_lost,3.0
ball_recoveries,14.0
pens_conceded,0.0
fouls,6.0
cards_yellow_red,0.0
