position,AM
minutes,1162.0
passes_completed,237.0
passes,343.0
dribbles_completed,28.0
dribbles,48.0
passes_completed_short,124.0
passes_short,148.0
passes_completed_medium,93.0
passes_medium,129.0
passes_completed_long,13.0
passes_long,33.0
passes_total_distance,3696.0
passes_free_kicks,2.0
through_balls,4.0
passes_pressure,99.0
passes_switches,6.0
crosses,25.0
corner_kicks,0.0
passes_intercepted,9.0
passes_blocked,27.0
dispossessed,32.0
goals,2.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,34.0
shots_on_target,12.0
sca,31.0
gca,2.0
xg,2.6
crosses_into_penalty_area,1.0
passes_into_final_third,13.0
passes_into_penalty_area,9.0
progressive_passes,25.0
carry_progressive_distance,1677.0
assisted_shots,12.0
fouled,42.0
pens_won,0.0
tackles,22.0
interceptions,7.0
blocks,15.0
tackles_won,17.0
dribble_tackles,2.0
dribbles_vs,18.0
pressures,196.0
pressure_regains,55.0
clearances,5.0
errors,0.0
aerials_won,22.0
aerials_lost,33.0
ball_recoveries,77.0
pens_conceded,0.0
fouls,30.0
cards_yellow_red,0.0
