position,CM
minutes,156.0
passes_completed,78.0
passes,89.0
dribbles_completed,4.0
dribbles,4.0
passes_completed_short,42.0
passes_short,48.0
passes_completed_medium,30.0
passes_medium,31.0
passes_completed_long,5.0
passes_long,7.0
passes_total_distance,1233.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,19.0
passes_switches,1.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,3.0
dispossessed,5.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,3.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,9.0
passes_into_penalty_area,4.0
progressive_passes,10.0
carry_progressive_distance,254.0
assisted_shots,2.0
fouled,3.0
pens_won,0.0
tackles,4.0
interceptions,5.0
blocks,6.0
tackles_won,2.0
dribble_tackles,2.0
dribbles_vs,4.0
pressures,24.0
pressure_regains,7.0
clearances,3.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,13.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
