position,LM
minutes,629.0
passes_completed,177.0
passes,236.0
dribbles_completed,2.0
dribbles,6.0
passes_completed_short,90.0
passes_short,105.0
passes_completed_medium,75.0
passes_medium,99.0
passes_completed_long,10.0
passes_long,24.0
passes_total_distance,2871.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,36.0
passes_switches,0.0
crosses,12.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,10.0
dispossessed,3.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,12.0
gca,0.0
xg,0.0
crosses_into_penalty_area,4.0
passes_into_final_third,14.0
passes_into_penalty_area,5.0
progressive_passes,12.0
carry_progressive_distance,523.0
assisted_shots,6.0
fouled,9.0
pens_won,0.0
tackles,14.0
interceptions,7.0
blocks,25.0
tackles_won,6.0
dribble_tackles,3.0
dribbles_vs,15.0
pressures,93.0
pressure_regains,32.0
clearances,16.0
errors,1.0
aerials_won,3.0
aerials_lost,3.0
ball_recoveries,52.0
pens_conceded,0.0
fouls,9.0
cards_yellow_red,0.0
