position,CB
minutes,2677.0
passes_completed,982.0
passes,1206.0
dribbles_completed,1.0
dribbles,4.0
passes_completed_short,227.0
passes_short,254.0
passes_completed_medium,518.0
passes_medium,592.0
passes_completed_long,227.0
passes_long,336.0
passes_total_distance,22883.0
passes_free_kicks,27.0
through_balls,1.0
passes_pressure,161.0
passes_switches,31.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,16.0
passes_blocked,14.0
dispossessed,5.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,1.0
sca,9.0
gca,0.0
xg,0.7000000000000001
crosses_into_penalty_area,0.0
passes_into_final_third,73.0
passes_into_penalty_area,4.0
progressive_passes,68.0
carry_progressive_distance,2923.0
assisted_shots,5.0
fouled,21.0
pens_won,0.0
tackles,33.0
interceptions,29.0
blocks,50.0
tackles_won,21.0
dribble_tackles,14.0
dribbles_vs,29.0
pressures,167.0
pressure_regains,48.0
clearances,179.0
errors,3.0
aerials_won,41.0
aerials_lost,35.0
ball_recoveries,321.0
pens_conceded,2.0
fouls,30.0
cards_yellow_red,0.0
