position,CM
minutes,959.0
passes_completed,356.0
passes,450.0
dribbles_completed,11.0
dribbles,14.0
passes_completed_short,147.0
passes_short,177.0
passes_completed_medium,147.0
passes_medium,175.0
passes_completed_long,51.0
passes_long,78.0
passes_total_distance,6683.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,120.0
passes_switches,17.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,11.0
passes_blocked,11.0
dispossessed,12.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,1.0
sca,6.0
gca,1.0
xg,0.7999999999999999
crosses_into_penalty_area,0.0
passes_into_final_third,44.0
passes_into_penalty_area,5.0
progressive_passes,35.0
carry_progressive_distance,1242.0
assisted_shots,4.0
fouled,20.0
pens_won,0.0
tackles,23.0
interceptions,11.0
blocks,18.0
tackles_won,18.0
dribble_tackles,6.0
dribbles_vs,21.0
pressures,168.0
pressure_regains,55.0
clearances,7.0
errors,1.0
aerials_won,20.0
aerials_lost,9.0
ball_recoveries,83.0
pens_conceded,0.0
fouls,19.0
cards_yellow_red,0.0
