position,DM
minutes,180.0
passes_completed,51.0
passes,61.0
dribbles_completed,3.0
dribbles,3.0
passes_completed_short,21.0
passes_short,23.0
passes_completed_medium,19.0
passes_medium,22.0
passes_completed_long,10.0
passes_long,15.0
passes_total_distance,1052.0
passes_free_kicks,5.0
through_balls,0.0
passes_pressure,11.0
passes_switches,4.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,0.0
dispossessed,4.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,1.0
sca,4.0
gca,0.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,3.0
passes_into_penalty_area,0.0
progressive_passes,3.0
carry_progressive_distance,171.0
assisted_shots,2.0
fouled,2.0
pens_won,0.0
tackles,6.0
interceptions,1.0
blocks,2.0
tackles_won,5.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,60.0
pressure_regains,20.0
clearances,5.0
errors,0.0
aerials_won,1.0
aerials_lost,2.0
ball_recoveries,17.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
