position,FW
minutes,269.0
passes_completed,71.0
passes,99.0
dribbles_completed,2.0
dribbles,2.0
passes_completed_short,45.0
passes_short,61.0
passes_completed_medium,19.0
passes_medium,24.0
passes_completed_long,3.0
passes_long,6.0
passes_total_distance,929.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,25.0
passes_switches,0.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,5.0
dispossessed,9.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,6.0
shots_on_target,3.0
sca,4.0
gca,1.0
xg,0.5
crosses_into_penalty_area,1.0
passes_into_final_third,6.0
passes_into_penalty_area,3.0
progressive_passes,6.0
carry_progressive_distance,137.0
assisted_shots,1.0
fouled,4.0
pens_won,0.0
tackles,3.0
interceptions,0.0
blocks,2.0
tackles_won,2.0
dribble_tackles,0.0
dribbles_vs,3.0
pressures,51.0
pressure_regains,17.0
clearances,3.0
errors,0.0
aerials_won,20.0
aerials_lost,20.0
ball_recoveries,15.0
pens_conceded,0.0
fouls,4.0
cards_yellow_red,0.0
