position,RM
minutes,90
passes_completed,26
passes,36
dribbles_completed,3
dribbles,3
passes_completed_short,14
passes_short,15
passes_completed_medium,6
passes_medium,9
passes_completed_long,5
passes_long,11
passes_total_distance,480
passes_free_kicks,1
through_balls,0
passes_pressure,4
passes_switches,4
crosses,1
corner_kicks,0
passes_intercepted,1
passes_blocked,0
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,3
shots_on_target,3
sca,2
gca,0
xg,0.2
crosses_into_penalty_area,0
passes_into_final_third,3
passes_into_penalty_area,0
progressive_passes,1
carry_progressive_distance,33
assisted_shots,1
fouled,0
pens_won,0
tackles,4
interceptions,1
blocks,1
tackles_won,3
dribble_tackles,3
dribbles_vs,5
pressures,17
pressure_regains,7
clearances,1
errors,0
aerials_won,0
aerials_lost,1
ball_recoveries,13
pens_conceded,0
fouls,1
cards_yellow_red,0
