position,RB
minutes,2594.0
passes_completed,1165.0
passes,1418.0
dribbles_completed,22.0
dribbles,28.0
passes_completed_short,438.0
passes_short,485.0
passes_completed_medium,561.0
passes_medium,627.0
passes_completed_long,156.0
passes_long,278.0
passes_total_distance,22741.0
passes_free_kicks,33.0
through_balls,1.0
passes_pressure,227.0
passes_switches,24.0
crosses,12.0
corner_kicks,1.0
passes_intercepted,21.0
passes_blocked,20.0
dispossessed,15.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,1.0
sca,24.0
gca,2.0
xg,0.7999999999999999
crosses_into_penalty_area,2.0
passes_into_final_third,106.0
passes_into_penalty_area,9.0
progressive_passes,80.0
carry_progressive_distance,3265.0
assisted_shots,11.0
fouled,31.0
pens_won,0.0
tackles,55.0
interceptions,41.0
blocks,74.0
tackles_won,37.0
dribble_tackles,19.0
dribbles_vs,37.0
pressures,328.0
pressure_regains,106.0
clearances,159.0
errors,0.0
aerials_won,37.0
aerials_lost,31.0
ball_recoveries,337.0
pens_conceded,1.0
fouls,37.0
cards_yellow_red,0.0
