position,DM
minutes,794.0
passes_completed,401.0
passes,480.0
dribbles_completed,9.0
dribbles,12.0
passes_completed_short,163.0
passes_short,181.0
passes_completed_medium,175.0
passes_medium,199.0
passes_completed_long,60.0
passes_long,86.0
passes_total_distance,7779.0
passes_free_kicks,11.0
through_balls,1.0
passes_pressure,82.0
passes_switches,15.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,11.0
dispossessed,5.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,9.0
shots_on_target,2.0
sca,9.0
gca,0.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,28.0
passes_into_penalty_area,1.0
progressive_passes,28.0
carry_progressive_distance,818.0
assisted_shots,2.0
fouled,17.0
pens_won,0.0
tackles,15.0
interceptions,12.0
blocks,17.0
tackles_won,13.0
dribble_tackles,3.0
dribbles_vs,14.0
pressures,179.0
pressure_regains,55.0
clearances,36.0
errors,0.0
aerials_won,23.0
aerials_lost,17.0
ball_recoveries,144.0
pens_conceded,0.0
fouls,19.0
cards_yellow_red,0.0
