position,FW
minutes,3111.0
passes_completed,789.0
passes,1072.0
dribbles_completed,36.0
dribbles,63.0
passes_completed_short,437.0
passes_short,541.0
passes_completed_medium,254.0
passes_medium,342.0
passes_completed_long,78.0
passes_long,125.0
passes_total_distance,12606.0
passes_free_kicks,3.0
through_balls,5.0
passes_pressure,300.0
passes_switches,34.0
crosses,39.0
corner_kicks,0.0
passes_intercepted,44.0
passes_blocked,42.0
dispossessed,77.0
goals,13.0
assists,7.0
pens_made,2.0
pens_att,2.0
shots_total,113.0
shots_on_target,32.0
sca,79.0
gca,13.0
xg,14.399999999999995
crosses_into_penalty_area,5.0
passes_into_final_third,44.0
passes_into_penalty_area,39.0
progressive_passes,76.0
carry_progressive_distance,3053.0
assisted_shots,42.0
fouled,39.0
pens_won,1.0
tackles,26.0
interceptions,22.0
blocks,23.0
tackles_won,17.0
dribble_tackles,8.0
dribbles_vs,23.0
pressures,631.0
pressure_regains,150.0
clearances,40.0
errors,0.0
aerials_won,49.0
aerials_lost,73.0
ball_recoveries,194.0
pens_conceded,0.0
fouls,41.0
cards_yellow_red,0.0
