position,FW
minutes,988.0
passes_completed,152.0
passes,209.0
dribbles_completed,13.0
dribbles,19.0
passes_completed_short,85.0
passes_short,106.0
passes_completed_medium,56.0
passes_medium,72.0
passes_completed_long,6.0
passes_long,11.0
passes_total_distance,2257.0
passes_free_kicks,0.0
through_balls,1.0
passes_pressure,66.0
passes_switches,2.0
crosses,12.0
corner_kicks,0.0
passes_intercepted,7.0
passes_blocked,12.0
dispossessed,28.0
goals,3.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,14.0
shots_on_target,5.0
sca,26.0
gca,3.0
xg,2.6999999999999997
crosses_into_penalty_area,2.0
passes_into_final_third,6.0
passes_into_penalty_area,7.0
progressive_passes,14.0
carry_progressive_distance,698.0
assisted_shots,15.0
fouled,29.0
pens_won,0.0
tackles,9.0
interceptions,1.0
blocks,4.0
tackles_won,5.0
dribble_tackles,1.0
dribbles_vs,4.0
pressures,206.0
pressure_regains,53.0
clearances,1.0
errors,0.0
aerials_won,13.0
aerials_lost,41.0
ball_recoveries,53.0
pens_conceded,0.0
fouls,19.0
cards_yellow_red,0.0
