position,CM
minutes,977.0
passes_completed,390.0
passes,472.0
dribbles_completed,14.0
dribbles,29.0
passes_completed_short,187.0
passes_short,210.0
passes_completed_medium,151.0
passes_medium,181.0
passes_completed_long,42.0
passes_long,57.0
passes_total_distance,6649.0
passes_free_kicks,2.0
through_balls,2.0
passes_pressure,91.0
passes_switches,8.0
crosses,8.0
corner_kicks,0.0
passes_intercepted,6.0
passes_blocked,17.0
dispossessed,10.0
goals,1.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,15.0
shots_on_target,3.0
sca,21.0
gca,4.0
xg,1.2000000000000002
crosses_into_penalty_area,2.0
passes_into_final_third,28.0
passes_into_penalty_area,8.0
progressive_passes,28.0
carry_progressive_distance,1060.0
assisted_shots,7.0
fouled,12.0
pens_won,0.0
tackles,25.0
interceptions,11.0
blocks,20.0
tackles_won,15.0
dribble_tackles,8.0
dribbles_vs,28.0
pressures,262.0
pressure_regains,64.0
clearances,11.0
errors,1.0
aerials_won,4.0
aerials_lost,8.0
ball_recoveries,130.0
pens_conceded,0.0
fouls,11.0
cards_yellow_red,0.0
