position,CM
minutes,786.0
passes_completed,496.0
passes,574.0
dribbles_completed,4.0
dribbles,8.0
passes_completed_short,202.0
passes_short,220.0
passes_completed_medium,222.0
passes_medium,249.0
passes_completed_long,66.0
passes_long,95.0
passes_total_distance,9439.0
passes_free_kicks,21.0
through_balls,1.0
passes_pressure,100.0
passes_switches,16.0
crosses,7.0
corner_kicks,5.0
passes_intercepted,8.0
passes_blocked,3.0
dispossessed,3.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,0.0
sca,14.0
gca,3.0
xg,0.1
crosses_into_penalty_area,1.0
passes_into_final_third,52.0
passes_into_penalty_area,6.0
progressive_passes,48.0
carry_progressive_distance,1295.0
assisted_shots,7.0
fouled,7.0
pens_won,0.0
tackles,12.0
interceptions,11.0
blocks,15.0
tackles_won,8.0
dribble_tackles,3.0
dribbles_vs,19.0
pressures,180.0
pressure_regains,64.0
clearances,7.0
errors,0.0
aerials_won,6.0
aerials_lost,3.0
ball_recoveries,84.0
pens_conceded,0.0
fouls,8.0
cards_yellow_red,0.0
