position,DM
minutes,3079.0
passes_completed,1658.0
passes,2140.0
dribbles_completed,15.0
dribbles,17.0
passes_completed_short,479.0
passes_short,533.0
passes_completed_medium,755.0
passes_medium,864.0
passes_completed_long,402.0
passes_long,695.0
passes_total_distance,38737.0
passes_free_kicks,91.0
through_balls,2.0
passes_pressure,347.0
passes_switches,204.0
crosses,73.0
corner_kicks,121.0
passes_intercepted,24.0
passes_blocked,30.0
dispossessed,14.0
goals,1.0
assists,1.0
pens_made,1.0
pens_att,1.0
shots_total,16.0
shots_on_target,5.0
sca,80.0
gca,6.0
xg,1.3000000000000003
crosses_into_penalty_area,12.0
passes_into_final_third,231.0
passes_into_penalty_area,35.0
progressive_passes,186.0
carry_progressive_distance,1830.0
assisted_shots,50.0
fouled,16.0
pens_won,0.0
tackles,75.0
interceptions,29.0
blocks,46.0
tackles_won,44.0
dribble_tackles,23.0
dribbles_vs,90.0
pressures,580.0
pressure_regains,161.0
clearances,64.0
errors,0.0
aerials_won,43.0
aerials_lost,30.0
ball_recoveries,461.0
pens_conceded,0.0
fouls,31.0
cards_yellow_red,0.0
