position,CB
minutes,1045.0
passes_completed,292.0
passes,407.0
dribbles_completed,0.0
dribbles,2.0
passes_completed_short,118.0
passes_short,136.0
passes_completed_medium,134.0
passes_medium,157.0
passes_completed_long,38.0
passes_long,104.0
passes_total_distance,5544.0
passes_free_kicks,10.0
through_balls,0.0
passes_pressure,84.0
passes_switches,8.0
crosses,5.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,10.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,1.0
sca,3.0
gca,1.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,38.0
passes_into_penalty_area,0.0
progressive_passes,21.0
carry_progressive_distance,533.0
assisted_shots,1.0
fouled,5.0
pens_won,0.0
tackles,23.0
interceptions,13.0
blocks,37.0
tackles_won,5.0
dribble_tackles,8.0
dribbles_vs,15.0
pressures,129.0
pressure_regains,31.0
clearances,65.0
errors,0.0
aerials_won,32.0
aerials_lost,19.0
ball_recoveries,108.0
pens_conceded,0.0
fouls,4.0
cards_yellow_red,0.0
