position,AM
minutes,192.0
passes_completed,55.0
passes,73.0
dribbles_completed,9.0
dribbles,15.0
passes_completed_short,29.0
passes_short,31.0
passes_completed_medium,18.0
passes_medium,25.0
passes_completed_long,6.0
passes_long,11.0
passes_total_distance,933.0
passes_free_kicks,3.0
through_balls,0.0
passes_pressure,15.0
passes_switches,5.0
crosses,9.0
corner_kicks,3.0
passes_intercepted,0.0
passes_blocked,5.0
dispossessed,8.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,4.0
shots_on_target,0.0
sca,8.0
gca,0.0
xg,0.4
crosses_into_penalty_area,1.0
passes_into_final_third,1.0
passes_into_penalty_area,2.0
progressive_passes,2.0
carry_progressive_distance,468.0
assisted_shots,4.0
fouled,2.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,1.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,3.0
pressures,45.0
pressure_regains,14.0
clearances,1.0
errors,0.0
aerials_won,2.0
aerials_lost,4.0
ball_recoveries,14.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
