position,CM
minutes,450.0
passes_completed,246.0
passes,304.0
dribbles_completed,5.0
dribbles,6.0
passes_completed_short,59.0
passes_short,74.0
passes_completed_medium,126.0
passes_medium,145.0
passes_completed_long,60.0
passes_long,81.0
passes_total_distance,5868.0
passes_free_kicks,4.0
through_balls,0.0
passes_pressure,58.0
passes_switches,22.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,3.0
dispossessed,1.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,3.0
sca,11.0
gca,2.0
xg,0.1
crosses_into_penalty_area,1.0
passes_into_final_third,32.0
passes_into_penalty_area,5.0
progressive_passes,27.0
carry_progressive_distance,425.0
assisted_shots,5.0
fouled,1.0
pens_won,0.0
tackles,5.0
interceptions,6.0
blocks,11.0
tackles_won,2.0
dribble_tackles,4.0
dribbles_vs,15.0
pressures,104.0
pressure_regains,22.0
clearances,10.0
errors,0.0
aerials_won,5.0
aerials_lost,4.0
ball_recoveries,64.0
pens_conceded,0.0
fouls,5.0
cards_yellow_red,0.0
