position,WB
minutes,460.0
passes_completed,182.0
passes,251.0
dribbles_completed,8.0
dribbles,9.0
passes_completed_short,76.0
passes_short,88.0
passes_completed_medium,73.0
passes_medium,100.0
passes_completed_long,31.0
passes_long,53.0
passes_total_distance,3753.0
passes_free_kicks,4.0
through_balls,0.0
passes_pressure,49.0
passes_switches,16.0
crosses,20.0
corner_kicks,4.0
passes_intercepted,5.0
passes_blocked,12.0
dispossessed,11.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,2.0
sca,12.0
gca,1.0
xg,0.1
crosses_into_penalty_area,5.0
passes_into_final_third,5.0
passes_into_penalty_area,9.0
progressive_passes,14.0
carry_progressive_distance,795.0
assisted_shots,6.0
fouled,3.0
pens_won,0.0
tackles,12.0
interceptions,2.0
blocks,10.0
tackles_won,8.0
dribble_tackles,2.0
dribbles_vs,9.0
pressures,62.0
pressure_regains,21.0
clearances,10.0
errors,0.0
aerials_won,6.0
aerials_lost,8.0
ball_recoveries,44.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
