position,DM
minutes,2584.0
passes_completed,1351.0
passes,1577.0
dribbles_completed,24.0
dribbles,30.0
passes_completed_short,558.0
passes_short,636.0
passes_completed_medium,591.0
passes_medium,656.0
passes_completed_long,170.0
passes_long,223.0
passes_total_distance,25207.0
passes_free_kicks,22.0
through_balls,1.0
passes_pressure,300.0
passes_switches,47.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,25.0
passes_blocked,29.0
dispossessed,26.0
goals,2.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,26.0
shots_on_target,2.0
sca,38.0
gca,4.0
xg,1.8
crosses_into_penalty_area,0.0
passes_into_final_third,130.0
passes_into_penalty_area,4.0
progressive_passes,69.0
carry_progressive_distance,2004.0
assisted_shots,9.0
fouled,27.0
pens_won,0.0
tackles,121.0
interceptions,49.0
blocks,68.0
tackles_won,73.0
dribble_tackles,37.0
dribbles_vs,103.0
pressures,718.0
pressure_regains,234.0
clearances,80.0
errors,1.0
aerials_won,72.0
aerials_lost,61.0
ball_recoveries,412.0
pens_conceded,3.0
fouls,53.0
cards_yellow_red,0.0
