position,RW
minutes,1305.0
passes_completed,373.0
passes,514.0
dribbles_completed,23.0
dribbles,38.0
passes_completed_short,195.0
passes_short,231.0
passes_completed_medium,126.0
passes_medium,169.0
passes_completed_long,46.0
passes_long,100.0
passes_total_distance,6611.0
passes_free_kicks,28.0
through_balls,0.0
passes_pressure,74.0
passes_switches,35.0
crosses,56.0
corner_kicks,20.0
passes_intercepted,12.0
passes_blocked,20.0
dispossessed,21.0
goals,2.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,38.0
shots_on_target,15.0
sca,46.0
gca,4.0
xg,1.6
crosses_into_penalty_area,10.0
passes_into_final_third,32.0
passes_into_penalty_area,21.0
progressive_passes,35.0
carry_progressive_distance,3065.0
assisted_shots,21.0
fouled,26.0
pens_won,1.0
tackles,5.0
interceptions,4.0
blocks,11.0
tackles_won,4.0
dribble_tackles,3.0
dribbles_vs,10.0
pressures,175.0
pressure_regains,47.0
clearances,6.0
errors,0.0
aerials_won,1.0
aerials_lost,11.0
ball_recoveries,67.0
pens_conceded,0.0
fouls,9.0
cards_yellow_red,0.0
