position,LW
minutes,90
passes_completed,42
passes,48
dribbles_completed,0
dribbles,2
passes_completed_short,24
passes_short,28
passes_completed_medium,15
passes_medium,15
passes_completed_long,3
passes_long,5
passes_total_distance,680
passes_free_kicks,1
through_balls,0
passes_pressure,9
passes_switches,0
crosses,0
corner_kicks,0
passes_intercepted,1
passes_blocked,1
dispossessed,2
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,0
sca,2
gca,1
xg,0.1
crosses_into_penalty_area,0
passes_into_final_third,1
passes_into_penalty_area,1
progressive_passes,2
carry_progressive_distance,63
assisted_shots,0
fouled,3
pens_won,0
tackles,1
interceptions,1
blocks,2
tackles_won,0
dribble_tackles,1
dribbles_vs,6
pressures,7
pressure_regains,2
clearances,1
errors,0
aerials_won,1
aerials_lost,0
ball_recoveries,15
pens_conceded,0
fouls,0
cards_yellow_red,0
