position,DM
minutes,412.0
passes_completed,126.0
passes,162.0
dribbles_completed,5.0
dribbles,5.0
passes_completed_short,52.0
passes_short,67.0
passes_completed_medium,55.0
passes_medium,59.0
passes_completed_long,17.0
passes_long,34.0
passes_total_distance,2553.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,26.0
passes_switches,6.0
crosses,2.0
corner_kicks,1.0
passes_intercepted,7.0
passes_blocked,2.0
dispossessed,3.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,1.0
sca,6.0
gca,0.0
xg,0.5
crosses_into_penalty_area,0.0
passes_into_final_third,21.0
passes_into_penalty_area,1.0
progressive_passes,17.0
carry_progressive_distance,299.0
assisted_shots,2.0
fouled,8.0
pens_won,0.0
tackles,9.0
interceptions,4.0
blocks,10.0
tackles_won,7.0
dribble_tackles,4.0
dribbles_vs,6.0
pressures,105.0
pressure_regains,30.0
clearances,5.0
errors,0.0
aerials_won,6.0
aerials_lost,2.0
ball_recoveries,46.0
pens_conceded,0.0
fouls,8.0
cards_yellow_red,0.0
