position,CB
minutes,922.0
passes_completed,353.0
passes,436.0
dribbles_completed,3.0
dribbles,3.0
passes_completed_short,88.0
passes_short,103.0
passes_completed_medium,205.0
passes_medium,234.0
passes_completed_long,60.0
passes_long,98.0
passes_total_distance,7785.0
passes_free_kicks,8.0
through_balls,0.0
passes_pressure,54.0
passes_switches,6.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,3.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,4.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,8.0
passes_into_penalty_area,1.0
progressive_passes,9.0
carry_progressive_distance,508.0
assisted_shots,1.0
fouled,0.0
pens_won,0.0
tackles,10.0
interceptions,9.0
blocks,18.0
tackles_won,6.0
dribble_tackles,4.0
dribbles_vs,14.0
pressures,57.0
pressure_regains,20.0
clearances,48.0
errors,2.0
aerials_won,15.0
aerials_lost,6.0
ball_recoveries,123.0
pens_conceded,1.0
fouls,7.0
cards_yellow_red,0.0
