position,CB
minutes,2682.0
passes_completed,1410.0
passes,1629.0
dribbles_completed,1.0
dribbles,2.0
passes_completed_short,298.0
passes_short,352.0
passes_completed_medium,823.0
passes_medium,877.0
passes_completed_long,282.0
passes_long,384.0
passes_total_distance,31836.0
passes_free_kicks,19.0
through_balls,0.0
passes_pressure,230.0
passes_switches,45.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,14.0
passes_blocked,13.0
dispossessed,3.0
goals,2.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,12.0
shots_on_target,2.0
sca,13.0
gca,1.0
xg,1.3000000000000003
crosses_into_penalty_area,1.0
passes_into_final_third,79.0
passes_into_penalty_area,4.0
progressive_passes,90.0
carry_progressive_distance,3845.0
assisted_shots,3.0
fouled,8.0
pens_won,0.0
tackles,42.0
interceptions,38.0
blocks,50.0
tackles_won,20.0
dribble_tackles,9.0
dribbles_vs,17.0
pressures,259.0
pressure_regains,88.0
clearances,74.0
errors,2.0
aerials_won,39.0
aerials_lost,24.0
ball_recoveries,314.0
pens_conceded,0.0
fouls,15.0
cards_yellow_red,0.0
