position,FW
minutes,2159.0
passes_completed,399.0
passes,550.0
dribbles_completed,17.0
dribbles,47.0
passes_completed_short,264.0
passes_short,332.0
passes_completed_medium,108.0
passes_medium,145.0
passes_completed_long,16.0
passes_long,33.0
passes_total_distance,5551.0
passes_free_kicks,1.0
through_balls,4.0
passes_pressure,143.0
passes_switches,4.0
crosses,11.0
corner_kicks,0.0
passes_intercepted,20.0
passes_blocked,27.0
dispossessed,55.0
goals,9.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,61.0
shots_on_target,25.0
sca,60.0
gca,6.0
xg,9.499999999999998
crosses_into_penalty_area,3.0
passes_into_final_third,30.0
passes_into_penalty_area,26.0
progressive_passes,60.0
carry_progressive_distance,2037.0
assisted_shots,28.0
fouled,28.0
pens_won,2.0
tackles,9.0
interceptions,5.0
blocks,21.0
tackles_won,8.0
dribble_tackles,2.0
dribbles_vs,15.0
pressures,371.0
pressure_regains,92.0
clearances,28.0
errors,0.0
aerials_won,38.0
aerials_lost,65.0
ball_recoveries,110.0
pens_conceded,0.0
fouls,42.0
cards_yellow_red,0.0
