position,LB
minutes,36
passes_completed,21
passes,27
dribbles_completed,0
dribbles,0
passes_completed_short,11
passes_short,12
passes_completed_medium,6
passes_medium,7
passes_completed_long,4
passes_long,8
passes_total_distance,380
passes_free_kicks,2
through_balls,0
passes_pressure,0
passes_switches,3
crosses,2
corner_kicks,0
passes_intercepted,0
passes_blocked,1
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,1
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,1
passes_into_penalty_area,0
progressive_passes,1
carry_progressive_distance,126
assisted_shots,0
fouled,1
pens_won,0
tackles,2
interceptions,1
blocks,1
tackles_won,2
dribble_tackles,1
dribbles_vs,1
pressures,6
pressure_regains,4
clearances,1
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,4
pens_conceded,0
fouls,2
cards_yellow_red,0
