position,FW
minutes,2528.0
passes_completed,621.0
passes,867.0
dribbles_completed,52.0
dribbles,91.0
passes_completed_short,344.0
passes_short,427.0
passes_completed_medium,203.0
passes_medium,282.0
passes_completed_long,66.0
passes_long,109.0
passes_total_distance,10413.0
passes_free_kicks,1.0
through_balls,7.0
passes_pressure,160.0
passes_switches,24.0
crosses,39.0
corner_kicks,3.0
passes_intercepted,32.0
passes_blocked,33.0
dispossessed,41.0
goals,8.0
assists,6.0
pens_made,0.0
pens_att,1.0
shots_total,76.0
shots_on_target,29.0
sca,75.0
gca,16.0
xg,13.399999999999999
crosses_into_penalty_area,2.0
passes_into_final_third,52.0
passes_into_penalty_area,30.0
progressive_passes,81.0
carry_progressive_distance,3357.0
assisted_shots,30.0
fouled,41.0
pens_won,1.0
tackles,16.0
interceptions,4.0
blocks,19.0
tackles_won,9.0
dribble_tackles,1.0
dribbles_vs,19.0
pressures,549.0
pressure_regains,124.0
clearances,18.0
errors,0.0
aerials_won,24.0
aerials_lost,70.0
ball_recoveries,122.0
pens_conceded,0.0
fouls,23.0
cards_yellow_red,1.0
