position,LM
minutes,540.0
passes_completed,233.0
passes,295.0
dribbles_completed,7.0
dribbles,11.0
passes_completed_short,143.0
passes_short,164.0
passes_completed_medium,78.0
passes_medium,97.0
passes_completed_long,9.0
passes_long,25.0
passes_total_distance,3474.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,43.0
passes_switches,2.0
crosses,11.0
corner_kicks,0.0
passes_intercepted,8.0
passes_blocked,6.0
dispossessed,6.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,4.0
sca,10.0
gca,3.0
xg,0.9
crosses_into_penalty_area,1.0
passes_into_final_third,14.0
passes_into_penalty_area,2.0
progressive_passes,14.0
carry_progressive_distance,735.0
assisted_shots,4.0
fouled,6.0
pens_won,0.0
tackles,16.0
interceptions,6.0
blocks,18.0
tackles_won,13.0
dribble_tackles,8.0
dribbles_vs,16.0
pressures,159.0
pressure_regains,44.0
clearances,16.0
errors,0.0
aerials_won,10.0
aerials_lost,7.0
ball_recoveries,47.0
pens_conceded,0.0
fouls,10.0
cards_yellow_red,0.0
