position,LM
minutes,2085.0
passes_completed,674.0
passes,885.0
dribbles_completed,168.0
dribbles,254.0
passes_completed_short,382.0
passes_short,442.0
passes_completed_medium,217.0
passes_medium,276.0
passes_completed_long,61.0
passes_long,121.0
passes_total_distance,10717.0
passes_free_kicks,16.0
through_balls,3.0
passes_pressure,145.0
passes_switches,32.0
crosses,43.0
corner_kicks,29.0
passes_intercepted,21.0
passes_blocked,28.0
dispossessed,72.0
goals,3.0
assists,3.0
pens_made,0.0
pens_att,0.0
shots_total,50.0
shots_on_target,17.0
sca,111.0
gca,13.0
xg,2.7000000000000006
crosses_into_penalty_area,5.0
passes_into_final_third,49.0
passes_into_penalty_area,38.0
progressive_passes,81.0
carry_progressive_distance,6720.0
assisted_shots,39.0
fouled,60.0
pens_won,1.0
tackles,33.0
interceptions,8.0
blocks,34.0
tackles_won,21.0
dribble_tackles,9.0
dribbles_vs,48.0
pressures,469.0
pressure_regains,114.0
clearances,9.0
errors,0.0
aerials_won,15.0
aerials_lost,13.0
ball_recoveries,165.0
pens_conceded,0.0
fouls,42.0
cards_yellow_red,0.0
