position,CM
minutes,810.0
passes_completed,316.0
passes,395.0
dribbles_completed,6.0
dribbles,11.0
passes_completed_short,130.0
passes_short,161.0
passes_completed_medium,136.0
passes_medium,161.0
passes_completed_long,43.0
passes_long,57.0
passes_total_distance,5836.0
passes_free_kicks,6.0
through_balls,1.0
passes_pressure,115.0
passes_switches,12.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,9.0
passes_blocked,8.0
dispossessed,4.0
goals,2.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,3.0
sca,15.0
gca,4.0
xg,1.1
crosses_into_penalty_area,0.0
passes_into_final_third,30.0
passes_into_penalty_area,4.0
progressive_passes,21.0
carry_progressive_distance,452.0
assisted_shots,2.0
fouled,9.0
pens_won,0.0
tackles,18.0
interceptions,12.0
blocks,14.0
tackles_won,14.0
dribble_tackles,3.0
dribbles_vs,13.0
pressures,151.0
pressure_regains,42.0
clearances,19.0
errors,1.0
aerials_won,39.0
aerials_lost,30.0
ball_recoveries,77.0
pens_conceded,0.0
fouls,19.0
cards_yellow_red,0.0
