position,RM
minutes,338.0
passes_completed,99.0
passes,140.0
dribbles_completed,7.0
dribbles,11.0
passes_completed_short,49.0
passes_short,56.0
passes_completed_medium,36.0
passes_medium,47.0
passes_completed_long,12.0
passes_long,30.0
passes_total_distance,1730.0
passes_free_kicks,4.0
through_balls,0.0
passes_pressure,24.0
passes_switches,8.0
crosses,12.0
corner_kicks,8.0
passes_intercepted,0.0
passes_blocked,4.0
dispossessed,5.0
goals,1.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,12.0
shots_on_target,5.0
sca,14.0
gca,5.0
xg,0.8999999999999999
crosses_into_penalty_area,3.0
passes_into_final_third,10.0
passes_into_penalty_area,3.0
progressive_passes,6.0
carry_progressive_distance,445.0
assisted_shots,6.0
fouled,4.0
pens_won,0.0
tackles,7.0
interceptions,4.0
blocks,4.0
tackles_won,5.0
dribble_tackles,1.0
dribbles_vs,7.0
pressures,98.0
pressure_regains,20.0
clearances,3.0
errors,0.0
aerials_won,2.0
aerials_lost,3.0
ball_recoveries,30.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
