position,LM
minutes,185.0
passes_completed,50.0
passes,74.0
dribbles_completed,3.0
dribbles,7.0
passes_completed_short,26.0
passes_short,33.0
passes_completed_medium,11.0
passes_medium,19.0
passes_completed_long,11.0
passes_long,17.0
passes_total_distance,916.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,17.0
passes_switches,4.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,5.0
dispossessed,5.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,5.0
shots_on_target,1.0
sca,3.0
gca,1.0
xg,0.30000000000000004
crosses_into_penalty_area,0.0
passes_into_final_third,4.0
passes_into_penalty_area,0.0
progressive_passes,4.0
carry_progressive_distance,293.0
assisted_shots,1.0
fouled,5.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,2.0
tackles_won,0.0
dribble_tackles,1.0
dribbles_vs,5.0
pressures,22.0
pressure_regains,3.0
clearances,4.0
errors,0.0
aerials_won,4.0
aerials_lost,8.0
ball_recoveries,15.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
