position,CM
minutes,3069.0
passes_completed,649.0
passes,972.0
dribbles_completed,29.0
dribbles,43.0
passes_completed_short,214.0
passes_short,301.0
passes_completed_medium,268.0
passes_medium,368.0
passes_completed_long,146.0
passes_long,250.0
passes_total_distance,14047.0
passes_free_kicks,26.0
through_balls,1.0
passes_pressure,204.0
passes_switches,78.0
crosses,32.0
corner_kicks,15.0
passes_intercepted,6.0
passes_blocked,32.0
dispossessed,39.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,46.0
shots_on_target,7.0
sca,37.0
gca,4.0
xg,1.8000000000000003
crosses_into_penalty_area,5.0
passes_into_final_third,93.0
passes_into_penalty_area,20.0
progressive_passes,86.0
carry_progressive_distance,1975.0
assisted_shots,13.0
fouled,63.0
pens_won,0.0
tackles,74.0
interceptions,26.0
blocks,69.0
tackles_won,49.0
dribble_tackles,21.0
dribbles_vs,64.0
pressures,799.0
pressure_regains,206.0
clearances,49.0
errors,0.0
aerials_won,63.0
aerials_lost,73.0
ball_recoveries,447.0
pens_conceded,0.0
fouls,79.0
cards_yellow_red,1.0
