position,RM
minutes,425.0
passes_completed,98.0
passes,157.0
dribbles_completed,4.0
dribbles,7.0
passes_completed_short,47.0
passes_short,62.0
passes_completed_medium,34.0
passes_medium,52.0
passes_completed_long,14.0
passes_long,32.0
passes_total_distance,1661.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,41.0
passes_switches,4.0
crosses,9.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,11.0
dispossessed,7.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,2.0
sca,7.0
gca,1.0
xg,0.5
crosses_into_penalty_area,0.0
passes_into_final_third,13.0
passes_into_penalty_area,1.0
progressive_passes,16.0
carry_progressive_distance,511.0
assisted_shots,2.0
fouled,4.0
pens_won,0.0
tackles,17.0
interceptions,7.0
blocks,8.0
tackles_won,12.0
dribble_tackles,4.0
dribbles_vs,10.0
pressures,85.0
pressure_regains,25.0
clearances,5.0
errors,0.0
aerials_won,15.0
aerials_lost,7.0
ball_recoveries,46.0
pens_conceded,0.0
fouls,5.0
cards_yellow_red,0.0
