position,CB
minutes,451.0
passes_completed,224.0
passes,270.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,60.0
passes_short,68.0
passes_completed_medium,110.0
passes_medium,120.0
passes_completed_long,53.0
passes_long,77.0
passes_total_distance,5213.0
passes_free_kicks,6.0
through_balls,0.0
passes_pressure,26.0
passes_switches,14.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,3.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,0.0
sca,4.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,11.0
passes_into_penalty_area,0.0
progressive_passes,11.0
carry_progressive_distance,844.0
assisted_shots,1.0
fouled,3.0
pens_won,0.0
tackles,4.0
interceptions,3.0
blocks,7.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,2.0
pressures,34.0
pressure_regains,11.0
clearances,20.0
errors,1.0
aerials_won,11.0
aerials_lost,9.0
ball_recoveries,56.0
pens_conceded,0.0
fouls,7.0
cards_yellow_red,0.0
