position,LM
minutes,1227.0
passes_completed,449.0
passes,533.0
dribbles_completed,36.0
dribbles,64.0
passes_completed_short,275.0
passes_short,311.0
passes_completed_medium,114.0
passes_medium,138.0
passes_completed_long,23.0
passes_long,31.0
passes_total_distance,5982.0
passes_free_kicks,4.0
through_balls,6.0
passes_pressure,133.0
passes_switches,7.0
crosses,10.0
corner_kicks,0.0
passes_intercepted,13.0
passes_blocked,13.0
dispossessed,23.0
goals,3.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,17.0
shots_on_target,11.0
sca,39.0
gca,3.0
xg,2.1000000000000005
crosses_into_penalty_area,0.0
passes_into_final_third,31.0
passes_into_penalty_area,12.0
progressive_passes,37.0
carry_progressive_distance,2339.0
assisted_shots,14.0
fouled,43.0
pens_won,0.0
tackles,17.0
interceptions,5.0
blocks,30.0
tackles_won,12.0
dribble_tackles,6.0
dribbles_vs,22.0
pressures,265.0
pressure_regains,82.0
clearances,6.0
errors,0.0
aerials_won,12.0
aerials_lost,35.0
ball_recoveries,106.0
pens_conceded,0.0
fouls,26.0
cards_yellow_red,0.0
