position,CM
passes_completed,0.49673202614379086
passes,0.6084967320261437
dribbles_completed,0.00784313725490196
dribbles,0.01437908496732026
passes_completed_short,0.2196078431372549
passes_short,0.2477124183006536
passes_completed_medium,0.19411764705882353
passes_medium,0.2261437908496732
passes_completed_long,0.07777777777777778
passes_long,0.12352941176470589
passes_total_distance,9.562091503267974
passes_free_kicks,0.026143790849673203
through_balls,0.00065359477124183
passes_pressure,0.10326797385620914
passes_switches,0.034640522875816995
crosses,0.00980392156862745
corner_kicks,0.020261437908496733
passes_intercepted,0.013725490196078431
passes_blocked,0.00849673202614379
dispossessed,0.01241830065359477
goals,0.00130718954248366
assists,0.00065359477124183
pens_made,0.0
pens_att,0.0
shots_total,0.011764705882352941
shots_on_target,0.0032679738562091504
sca,0.02679738562091503
gca,0.00261437908496732
xg,0.0007189542483660131
crosses_into_penalty_area,0.00065359477124183
passes_into_final_third,0.03529411764705882
passes_into_penalty_area,0.006535947712418301
progressive_passes,0.0457516339869281
carry_progressive_distance,0.965359477124183
assisted_shots,0.011764705882352941
fouled,0.00980392156862745
pens_won,0.0
tackles,0.018300653594771243
interceptions,0.016339869281045753
blocks,0.018300653594771243
tackles_won,0.01045751633986928
dribble_tackles,0.00718954248366013
dribbles_vs,0.021568627450980392
pressures,0.26601307189542484
pressure_regains,0.050980392156862744
clearances,0.00980392156862745
errors,0.0
aerials_won,0.006535947712418301
aerials_lost,0.00980392156862745
ball_recoveries,0.10326797385620914
pens_conceded,0.0
fouls,0.0058823529411764705
cards_yellow_red,0.0
