position,CB
minutes,7338.0
passes_completed,3248.0
passes,3851.0
dribbles_completed,35.0
dribbles,44.0
passes_completed_short,821.0
passes_short,953.0
passes_completed_medium,1665.0
passes_medium,1863.0
passes_completed_long,725.0
passes_long,959.0
passes_total_distance,73562.0
passes_free_kicks,102.0
through_balls,1.0
passes_pressure,446.0
passes_switches,139.0
crosses,9.0
corner_kicks,0.0
passes_intercepted,44.0
passes_blocked,29.0
dispossessed,24.0
goals,2.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,45.0
shots_on_target,10.0
sca,46.0
gca,3.0
xg,4.5
crosses_into_penalty_area,3.0
passes_into_final_third,206.0
passes_into_penalty_area,13.0
progressive_passes,218.0
carry_progressive_distance,8608.0
assisted_shots,10.0
fouled,105.0
pens_won,0.0
tackles,191.0
interceptions,157.0
blocks,145.0
tackles_won,114.0
dribble_tackles,69.0
dribbles_vs,148.0
pressures,823.0
pressure_regains,280.0
clearances,465.0
errors,6.0
aerials_won,153.0
aerials_lost,76.0
ball_recoveries,997.0
pens_conceded,3.0
fouls,131.0
cards_yellow_red,0.0
