position,CB
minutes,2855.0
passes_completed,788.0
passes,978.0
dribbles_completed,6.0
dribbles,7.0
passes_completed_short,196.0
passes_short,222.0
passes_completed_medium,406.0
passes_medium,460.0
passes_completed_long,178.0
passes_long,280.0
passes_total_distance,17933.0
passes_free_kicks,22.0
through_balls,0.0
passes_pressure,113.0
passes_switches,39.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,7.0
dispossessed,8.0
goals,2.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,18.0
shots_on_target,2.0
sca,8.0
gca,0.0
xg,1.4000000000000006
crosses_into_penalty_area,1.0
passes_into_final_third,25.0
passes_into_penalty_area,2.0
progressive_passes,32.0
carry_progressive_distance,1661.0
assisted_shots,3.0
fouled,4.0
pens_won,0.0
tackles,52.0
interceptions,19.0
blocks,83.0
tackles_won,32.0
dribble_tackles,17.0
dribbles_vs,40.0
pressures,257.0
pressure_regains,88.0
clearances,200.0
errors,0.0
aerials_won,46.0
aerials_lost,31.0
ball_recoveries,237.0
pens_conceded,2.0
fouls,21.0
cards_yellow_red,0.0
