position,RB
minutes,4430.0
passes_completed,2155.0
passes,2645.0
dribbles_completed,35.0
dribbles,72.0
passes_completed_short,965.0
passes_short,1094.0
passes_completed_medium,988.0
passes_medium,1147.0
passes_completed_long,176.0
passes_long,295.0
passes_total_distance,37759.0
passes_free_kicks,29.0
through_balls,1.0
passes_pressure,396.0
passes_switches,46.0
crosses,93.0
corner_kicks,0.0
passes_intercepted,62.0
passes_blocked,96.0
dispossessed,47.0
goals,2.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,22.0
shots_on_target,5.0
sca,62.0
gca,5.0
xg,0.7
crosses_into_penalty_area,15.0
passes_into_final_third,128.0
passes_into_penalty_area,36.0
progressive_passes,167.0
carry_progressive_distance,7220.0
assisted_shots,26.0
fouled,78.0
pens_won,1.0
tackles,148.0
interceptions,52.0
blocks,101.0
tackles_won,74.0
dribble_tackles,62.0
dribbles_vs,130.0
pressures,805.0
pressure_regains,228.0
clearances,114.0
errors,0.0
aerials_won,39.0
aerials_lost,39.0
ball_recoveries,407.0
pens_conceded,0.0
fouls,60.0
cards_yellow_red,0.0
