position,FW
minutes,1269.0
passes_completed,200.0
passes,281.0
dribbles_completed,10.0
dribbles,20.0
passes_completed_short,119.0
passes_short,149.0
passes_completed_medium,63.0
passes_medium,92.0
passes_completed_long,12.0
passes_long,23.0
passes_total_distance,3000.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,51.0
passes_switches,8.0
crosses,18.0
corner_kicks,0.0
passes_intercepted,11.0
passes_blocked,11.0
dispossessed,24.0
goals,9.0
assists,0.0
pens_made,1.0
pens_att,1.0
shots_total,31.0
shots_on_target,15.0
sca,23.0
gca,0.0
xg,5.300000000000001
crosses_into_penalty_area,0.0
passes_into_final_third,13.0
passes_into_penalty_area,5.0
progressive_passes,21.0
carry_progressive_distance,1102.0
assisted_shots,12.0
fouled,19.0
pens_won,0.0
tackles,8.0
interceptions,5.0
blocks,15.0
tackles_won,5.0
dribble_tackles,0.0
dribbles_vs,11.0
pressures,254.0
pressure_regains,58.0
clearances,23.0
errors,0.0
aerials_won,9.0
aerials_lost,32.0
ball_recoveries,44.0
pens_conceded,0.0
fouls,40.0
cards_yellow_red,0.0
