position,DM
passes_completed,0.42406876790830944
passes,0.5205348615090736
dribbles_completed,0.0009551098376313276
dribbles,0.0019102196752626551
passes_completed_short,0.18529130850047756
passes_short,0.2177650429799427
passes_completed_medium,0.17478510028653296
passes_medium,0.19961795606494748
passes_completed_long,0.05635148042024833
passes_long,0.08882521489971347
passes_total_distance,7.837631327602674
passes_free_kicks,0.024832855778414518
through_balls,0.0009551098376313276
passes_pressure,0.07163323782234957
passes_switches,0.019102196752626553
crosses,0.0009551098376313276
corner_kicks,0.0019102196752626551
passes_intercepted,0.007640878701050621
passes_blocked,0.010506208213944603
dispossessed,0.004775549188156638
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.010506208213944603
shots_on_target,0.0009551098376313276
sca,0.014326647564469915
gca,0.0009551098376313276
xg,0.0009551098376313276
crosses_into_penalty_area,0.0
passes_into_final_third,0.03629417382999045
passes_into_penalty_area,0.0019102196752626551
progressive_passes,0.039159503342884434
carry_progressive_distance,0.6074498567335244
assisted_shots,0.0038204393505253103
fouled,0.007640878701050621
pens_won,0.0
tackles,0.02865329512893983
interceptions,0.026743075453677174
blocks,0.017191977077363897
tackles_won,0.025787965616045846
dribble_tackles,0.010506208213944603
dribbles_vs,0.025787965616045846
pressures,0.15663801337153774
pressure_regains,0.04202483285577841
clearances,0.044890162368672396
errors,0.0
aerials_won,0.02005730659025788
aerials_lost,0.01623686723973257
ball_recoveries,0.14040114613180515
pens_conceded,0.0
fouls,0.026743075453677174
cards_yellow_red,0.0
