position,AM
minutes,6189.0
passes_completed,2813.0
passes,3940.0
dribbles_completed,107.0
dribbles,168.0
passes_completed_short,1201.0
passes_short,1413.0
passes_completed_medium,1054.0
passes_medium,1346.0
passes_completed_long,507.0
passes_long,1032.0
passes_total_distance,55768.0
passes_free_kicks,213.0
through_balls,29.0
passes_pressure,578.0
passes_switches,217.0
crosses,299.0
corner_kicks,365.0
passes_intercepted,104.0
passes_blocked,129.0
dispossessed,119.0
goals,19.0
assists,24.0
pens_made,7.0
pens_att,9.0
shots_total,154.0
shots_on_target,54.0
sca,478.0
gca,50.0
xg,18.699999999999996
crosses_into_penalty_area,53.0
passes_into_final_third,279.0
passes_into_penalty_area,166.0
progressive_passes,412.0
carry_progressive_distance,12857.0
assisted_shots,299.0
fouled,117.0
pens_won,4.0
tackles,52.0
interceptions,25.0
blocks,55.0
tackles_won,28.0
dribble_tackles,16.0
dribbles_vs,74.0
pressures,890.0
pressure_regains,247.0
clearances,21.0
errors,0.0
aerials_won,13.0
aerials_lost,30.0
ball_recoveries,410.0
pens_conceded,1.0
fouls,45.0
cards_yellow_red,1.0
