position,LW
minutes,993.0
passes_completed,358.0
passes,519.0
dribbles_completed,18.0
dribbles,34.0
passes_completed_short,177.0
passes_short,216.0
passes_completed_medium,122.0
passes_medium,159.0
passes_completed_long,49.0
passes_long,110.0
passes_total_distance,6368.0
passes_free_kicks,8.0
through_balls,6.0
passes_pressure,103.0
passes_switches,14.0
crosses,28.0
corner_kicks,29.0
passes_intercepted,9.0
passes_blocked,32.0
dispossessed,24.0
goals,2.0
assists,2.0
pens_made,0.0
pens_att,0.0
shots_total,27.0
shots_on_target,9.0
sca,40.0
gca,3.0
xg,2.4
crosses_into_penalty_area,4.0
passes_into_final_third,38.0
passes_into_penalty_area,15.0
progressive_passes,48.0
carry_progressive_distance,1935.0
assisted_shots,25.0
fouled,9.0
pens_won,0.0
tackles,20.0
interceptions,10.0
blocks,13.0
tackles_won,13.0
dribble_tackles,8.0
dribbles_vs,26.0
pressures,233.0
pressure_regains,49.0
clearances,3.0
errors,0.0
aerials_won,6.0
aerials_lost,16.0
ball_recoveries,107.0
pens_conceded,0.0
fouls,11.0
cards_yellow_red,0.0
