position,CM
passes_completed,0.5336617405582923
passes,0.632183908045977
dribbles_completed,0.008210180623973728
dribbles,0.011494252873563218
passes_completed_short,0.17405582922824303
passes_short,0.19047619047619047
passes_completed_medium,0.2413793103448276
passes_medium,0.2660098522167488
passes_completed_long,0.11494252873563218
passes_long,0.1724137931034483
passes_total_distance,11.638752052545156
passes_free_kicks,0.031198686371100164
through_balls,0.0
passes_pressure,0.12315270935960591
passes_switches,0.03284072249589491
crosses,0.013136288998357963
corner_kicks,0.0180623973727422
passes_intercepted,0.0049261083743842365
passes_blocked,0.0049261083743842365
dispossessed,0.009852216748768473
goals,0.0016420361247947454
assists,0.0
pens_made,0.0
pens_att,0.0016420361247947454
shots_total,0.019704433497536946
shots_on_target,0.0049261083743842365
sca,0.019704433497536946
gca,0.0
xg,0.0024630541871921187
crosses_into_penalty_area,0.0016420361247947454
passes_into_final_third,0.0361247947454844
passes_into_penalty_area,0.003284072249589491
progressive_passes,0.03776683087027915
carry_progressive_distance,0.8949096880131363
assisted_shots,0.011494252873563218
fouled,0.019704433497536946
pens_won,0.0
tackles,0.03776683087027915
interceptions,0.011494252873563218
blocks,0.024630541871921183
tackles_won,0.024630541871921183
dribble_tackles,0.013136288998357963
dribbles_vs,0.027914614121510674
pressures,0.2660098522167488
pressure_regains,0.06239737274220033
clearances,0.0049261083743842365
errors,0.0
aerials_won,0.0
aerials_lost,0.003284072249589491
ball_recoveries,0.12479474548440066
pens_conceded,0.0
fouls,0.008210180623973728
cards_yellow_red,0.0
