position,DM
minutes,1250.0
passes_completed,0.3856
passes,0.484
dribbles_completed,0.0184
dribbles,0.0232
passes_completed_short,0.1632
passes_short,0.192
passes_completed_medium,0.1688
passes_medium,0.2048
passes_completed_long,0.0464
passes_long,0.0688
passes_total_distance,7.0112
passes_free_kicks,0.0024
through_balls,0.0008
passes_pressure,0.1168
passes_switches,0.0056
crosses,0.012
corner_kicks,0.0016
passes_intercepted,0.0064
passes_blocked,0.0152
dispossessed,0.0152
goals,0.0
assists,0.0008
pens_made,0.0
pens_att,0.0
shots_total,0.0104
shots_on_target,0.0016
sca,0.0256
gca,0.0024
xg,0.0009600000000000001
crosses_into_penalty_area,0.0032
passes_into_final_third,0.0304
passes_into_penalty_area,0.0152
progressive_passes,0.0416
carry_progressive_distance,1.2704
assisted_shots,0.012
fouled,0.02
pens_won,0.0
tackles,0.0272
interceptions,0.016
blocks,0.0144
tackles_won,0.02
dribble_tackles,0.0072
dribbles_vs,0.0208
pressures,0.2016
pressure_regains,0.0536
clearances,0.0144
errors,0.0
aerials_won,0.0064
aerials_lost,0.0096
ball_recoveries,0.1624
pens_conceded,0.0
fouls,0.0208
cards_yellow_red,0.0
