position,RB
minutes,4550.0
passes_completed,1765.0
passes,2428.0
dribbles_completed,20.0
dribbles,32.0
passes_completed_short,897.0
passes_short,1029.0
passes_completed_medium,614.0
passes_medium,808.0
passes_completed_long,201.0
passes_long,451.0
passes_total_distance,30014.0
passes_free_kicks,25.0
through_balls,0.0
passes_pressure,456.0
passes_switches,45.0
crosses,75.0
corner_kicks,1.0
passes_intercepted,53.0
passes_blocked,96.0
dispossessed,37.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,12.0
shots_on_target,3.0
sca,32.0
gca,3.0
xg,1.4000000000000001
crosses_into_penalty_area,18.0
passes_into_final_third,146.0
passes_into_penalty_area,34.0
progressive_passes,160.0
carry_progressive_distance,3713.0
assisted_shots,15.0
fouled,64.0
pens_won,0.0
tackles,119.0
interceptions,46.0
blocks,113.0
tackles_won,59.0
dribble_tackles,50.0
dribbles_vs,95.0
pressures,657.0
pressure_regains,182.0
clearances,179.0
errors,3.0
aerials_won,94.0
aerials_lost,53.0
ball_recoveries,549.0
pens_conceded,0.0
fouls,57.0
cards_yellow_red,0.0
