position,CM
minutes,670.0
passes_completed,315.0
passes,381.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,111.0
passes_short,123.0
passes_completed_medium,148.0
passes_medium,162.0
passes_completed_long,54.0
passes_long,93.0
passes_total_distance,6675.0
passes_free_kicks,14.0
through_balls,0.0
passes_pressure,54.0
passes_switches,17.0
crosses,6.0
corner_kicks,1.0
passes_intercepted,2.0
passes_blocked,1.0
dispossessed,1.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,6.0
shots_on_target,2.0
sca,15.0
gca,2.0
xg,0.1
crosses_into_penalty_area,1.0
passes_into_final_third,36.0
passes_into_penalty_area,2.0
progressive_passes,31.0
carry_progressive_distance,661.0
assisted_shots,4.0
fouled,2.0
pens_won,0.0
tackles,21.0
interceptions,6.0
blocks,14.0
tackles_won,15.0
dribble_tackles,8.0
dribbles_vs,18.0
pressures,95.0
pressure_regains,24.0
clearances,20.0
errors,2.0
aerials_won,4.0
aerials_lost,5.0
ball_recoveries,73.0
pens_conceded,0.0
fouls,9.0
cards_yellow_red,0.0
