position,DM
minutes,2559.0
passes_completed,1301.0
passes,1469.0
dribbles_completed,24.0
dribbles,36.0
passes_completed_short,479.0
passes_short,544.0
passes_completed_medium,618.0
passes_medium,663.0
passes_completed_long,187.0
passes_long,228.0
passes_total_distance,25612.0
passes_free_kicks,51.0
through_balls,1.0
passes_pressure,259.0
passes_switches,43.0
crosses,2.0
corner_kicks,1.0
passes_intercepted,30.0
passes_blocked,13.0
dispossessed,23.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,14.0
shots_on_target,4.0
sca,43.0
gca,1.0
xg,0.4
crosses_into_penalty_area,0.0
passes_into_final_third,103.0
passes_into_penalty_area,6.0
progressive_passes,105.0
carry_progressive_distance,3861.0
assisted_shots,12.0
fouled,43.0
pens_won,0.0
tackles,72.0
interceptions,33.0
blocks,47.0
tackles_won,46.0
dribble_tackles,23.0
dribbles_vs,62.0
pressures,486.0
pressure_regains,148.0
clearances,48.0
errors,1.0
aerials_won,40.0
aerials_lost,39.0
ball_recoveries,298.0
pens_conceded,0.0
fouls,44.0
cards_yellow_red,0.0
